VISIT_AREA_NM,REVISIT_INTENTION,RCMDTN_INTENTION,X_COORD,Y_COORD,Total_value
가리비칼국수,3,3,126.671179,37.43854308,6
가림중학교,5,5,126.8796818,37.45763705,10
가마솥 뼈다귀해장국,4,4,129.1185617,35.55688123,8
가마솥족발 순대국,5,5,126.9771221,37.5514511,10
가메골손왕만두 남대문본점,5,5,126.9771155,37.55835455,10
가미우동,5,5,126.9238577,37.55468317,10
가배도 명동점,5,5,126.9850262,37.5604191,10
가배도 삼청점,10,10,126.982158,37.57990723,20
가보자순대국,2,3,127.7460514,37.92631709,5
가보정 2관,5,5,127.0281653,37.27449642,10
가보호텔,1,1,127.112885,36.99306065,2
가비가배,20,21,127.320375,38.07468958,41
가비림,5,3,127.0158253,37.28270539,8
가산농협하나로마트 내촌점,3,3,127.2281685,37.78568189,6
가산디지털단지,4,4,126.8869406,37.47699432,8
가산디지털단지역 7호선,29,31,126.8826618,37.48039597,60
가야,9,10,126.9192646,37.67874312,19
가야역 부산2호선,3,3,129.0433135,35.15593532,6
가양칼국수,7,7,126.9314061,37.52089416,14
가온길,13,13,127.4588144,37.77081764,26
가온칼국수 송도본점,5,5,126.6606635,37.38246118,10
가요리믹스 별밤,5,5,126.9061805,37.51836375,10
가우딘악세사리부품상가,8,7,126.9758266,37.55765061,15
가운문화공원,2,4,127.1586238,37.60243671,6
가이오국수 본점,5,5,126.9172908,37.61054394,10
가자모텔,5,5,127.1334552,37.43408126,10
가자실내낚시카페 대학로점,5,5,127.0039885,37.5816186,10
가장맛있는족발 등촌역점,5,5,126.8638103,37.55065687,10
가장맛있는족발 안양덕천점,4,4,126.93081,37.39638726,8
가정집백반,4,3,126.5449282,33.49876688,7
가좌이음숲,3,3,126.6859532,37.48316156,6
가챠샵 신도림테크노마트점,5,5,126.8902565,37.50710189,10
가챠샵 차이나타운점,4,3,126.6178455,37.47568438,7
가천대학교 글로벌캠퍼스,4,2,127.1299445,37.45041696,6
가천린포크 김포점,10,10,126.717564,37.61260995,20
가천컨벤션센터,3,3,127.1271856,37.44961445,6
가평 JH풀빌라,5,5,127.540523,37.75805241,10
가평 뉴청평펜션,5,6,127.4339538,37.73747176,11
